ScenarioCode,OldStaffMemberCode,NewStaffMemberCode
,50084139,50084139
,50084147,50084147
,50084149,50084149
,50084153,50084153
,50084155,50084155
,50084159,50084159
,50084167,50084167
,50084179,50084179
,50084187,50084187
,50084195,50084195
,50084201,50084201
,50084209,50084209
,50084221,50084221
,50084229,50084229
,50084235,50084235
,50084237,50084237
,50084243,50084243
,50084245,50084245
,50084251,50084251
,50084259,50084259
,50084265,50084265
,50084279,50084279
,50084281,50084281
,50084299,50084299
,50084313,50084313
,50084315,50084315
,50084333,50084333
,50084353,50084353
,50084363,50084363
,50084365,50084365
,50084367,50084367
,50084373,50084373
,50084375,50084375
,50084385,50084385
,50084391,50084391
,50084393,50084393
,50084403,50084403
,50085311,50085311
,50085313,50085313
,50085314,50085314
,50085651,50085651
,50085887,50085887
,50085893,50085893
,50085897,50085897
,50085899,50085899
,50085915,50085915
,50085923,50085923
,50085925,50085925
,50085927,50085927
,50085931,50085931
,50085933,50085933
,50085935,50085935
,50085937,50085937
,50085941,50085941
,50085953,50085953
,50085955,50085955
,50085961,50085961
,50085965,50085965
,50085971,50085971
,50085975,50085975
,50085979,50085979
,50085981,50085981
,50085983,50085983
,50085985,50085985
,50085989,50085989
,50085993,50085993
,50085995,50085995
,50086001,50086001
,50086003,50086003
,50086007,50086007
,50086009,50086009
,50086011,50086011
,50086017,50086017
,50086019,50086019
,50086023,50086023
,50086025,50086025
,50086027,50086027
,50086033,50086033
,50086035,50086035
,50086037,50086037
,50086039,50086039
,50086045,50086045
,50086047,50086047
,50086055,50086055
,50086057,50086057
,50086059,50086059
,50086061,50086061
,50086063,50086063
,50086071,50086071
,50086073,50086073
,50086081,50086081
,50086089,50086089
,50086091,50086091
,50086093,50086093
,50086097,50086097
,50086099,50086099
,50086101,50086101
,50086103,50086103
,50086107,50086107
,50086111,50086111
,50086113,50086113
,50086119,50086119
,50086121,50086121
,50086123,50086123
,50086125,50086125
,50086129,50086129
,50086135,50086135
,50086139,50086139
,50086145,50086145
,50086147,50086147
,50086151,50086151
,50086153,50086153
,50086155,50086155
,50086157,50086157
,50086159,50086159
,50086161,50086161
,50086165,50086165
,50086169,50086169
,50086171,50086171
,50086173,50086173
,50086175,50086175
,50086177,50086177
,50086187,50086187
,50086193,50086193
,50086203,50086203
,50086217,50086217
,50086223,50086223
,50086675,50086675
,50087137,50087137
,50087155,50087155
,50087215,50087215
,50087277,50087277
,50087301,50087301
,50087714,50087714
,50087770,50087770
,50087776,50087776
,50087777,50087777
,50087824,50087824
,50087851,50087851
,50088429,50088429
,50088597,50088597
,50088856,50088856
,50088858,50088858
,50088889,50088889
,50088890,50088890
,50088896,50088896
,50089127,50089127
,50089144,50089144
,50090533,50090533
,50090537,50090537
,50090539,50090539
,50090653,50090653
,50090664,50090664
,50090667,50090667
,50090668,50090668
,50090682,50090682
,50090687,50090687
,50091519,50091519
,50091524,50091524
,50091525,50091525
,50091526,50091526
,50091527,50091527
,50091530,50091530
,50091532,50091532
,50091533,50091533
,50091534,50091534
,50091537,50091537
,50091541,50091541
,50091542,50091542
,50091545,50091545
,50091546,50091546
,50091548,50091548
,50091663,50091663
,50091666,50091666
,50091672,50091672
,50091768,50091768
,50091774,50091774
,50091775,50091775
,50091779,50091779
,50091833,50091833
,50091837,50091837
,50091838,50091838
,50091840,50091840
,50091841,50091841
,50091866,50091866
,50091929,50091929
,50091932,50091932
,50091972,50091972
,50091975,50091975
,50091980,50091980
,50092217,50092217
,50092222,50092222
,50092253,50092253
,50092264,50092264
,50092274,50092274
,50092308,50092308
,50093062,50093062
,50093073,50093073
,50093077,50093077
,50093226,50093226
,50093389,50093389
,50093391,50093391
,50093486,50093486
,50093691,50093691
,50093814,50093814
,50093816,50093816
,50093821,50093821
,50093849,50093849
,50093857,50093857
,50093881,50093881
,50093885,50093885
,50094231,50094231
,50094242,50094242
,50094243,50094243
,50094316,50094316
,50094368,50094368
,50094481,50094481
,50094617,50094617
,50094618,50094618
,50094893,50094893
,50095100,50095100
,50095110,50095110
,50095609,50095609
,50095636,50095636
,50096045,50096045
,50096047,50096047
,50096051,50096051
,50096059,50096059
,50096069,50096069
,50096075,50096075
,50096083,50096083
,50096095,50096095
,50096097,50096097
,50096105,50096105
,50096107,50096107
,50096119,50096119
,50096133,50096133
,50096153,50096153
,50096159,50096159
,50096163,50096163
,50097447,50097447
,50097457,50097457
,50097460,50097460
,50097464,50097464
,50097481,50097481
,50097492,50097492
,50097694,50097694
,50097695,50097695
,50097697,50097697
,50097699,50097699
,50097700,50097700
,50097701,50097701
,50097716,50097716
,50097717,50097717
,50097718,50097718
,50097731,50097731
,50097732,50097732
,50098120,50098120
,50098125,50098125
,50098126,50098126
,50098127,50098127
,50098129,50098129
,50098132,50098132
,50098133,50098133
,50098135,50098135
,50098136,50098136
,50098137,50098137
,50098138,50098138
,50098142,50098142
,50098145,50098145
,50098148,50098148
,50098297,50098297
,50098298,50098298
,50098306,50098306
,50098308,50098308
,50098309,50098309
,50098310,50098310
,50098312,50098312
,50098316,50098316
,50098365,50098365
,50098366,50098366
,50098478,50098478
,50098479,50098479
,50098492,50098492
,50098500,50098500
,50098502,50098502
,50098504,50098504
,50098535,50098535
,50098544,50098544
,50098546,50098546
,50098888,50098888
,50100937,50100937
,50100985,50100985
,50100986,50100986
,50100987,50100987
,50100988,50100988
,50100991,50100991
,50101013,50101013
,50101063,50101063
,50101065,50101065
,50101069,50101069
,50101070,50101070
,50101081,50101081
,50101086,50101086
,50101140,50101140
,50102082,50102082
,50102083,50102083
,50102133,50102133
,50102193,50102193
,50102194,50102194
,50102540,50102540
,50102541,50102541
,50102542,50102542
,50102570,50102570
,50103174,50103174
,50103204,50103204
,50103415,50103415
,50103421,50103421
,50103425,50103425
,50103429,50103429
,50103433,50103433
,50103435,50103435
,50103437,50103437
,50103443,50103443
,50103445,50103445
,50103447,50103447
,50103453,50103453
,50103455,50103455
,50103457,50103457
,50103459,50103459
,50103461,50103461
,50103463,50103463
,50103467,50103467
,50103471,50103471
,50103472,50103472
,50103520,50103520
,50103522,50103522
,50103523,50103523
,50103524,50103524
,50103525,50103525
,50103536,50103536
,50103556,50103556
,50103625,50103625
,50103705,50103705
,50104053,50104053
,50104064,50104064
,50104104,50104104
,50104163,50104163
,50104164,50104164
,50104432,50104432
,50104449,50104449
,50104450,50104450
,50104452,50104452
,50105145,50105145
,50105146,50105146
,50105148,50105148
,50105150,50105150
,50105182,50105182
,50105247,50105247
,50105248,50105248
,50105249,50105249
,50105251,50105251
,50105253,50105253
,50105263,50105263
,50105519,50105519
,50105523,50105523
,50105524,50105524
,50105531,50105531
,50105877,50105877
,50105879,50105879
,50105883,50105883
,50105887,50105887
,50105889,50105889
,50105893,50105893
,50105903,50105903
,50105905,50105905
,50105907,50105907
,50105909,50105909
,50105911,50105911
,50105913,50105913
,50105925,50105925
,50105927,50105927
,50105929,50105929
,50105931,50105931
,50105939,50105939
,50105941,50105941
,50105943,50105943
