DepartmentCode,Title,AvailableToAllSchools,SchoolCodes,ActivityCode,FundCode,LedgerCode,DefaultFinanceCode,DepartmentEnabled
EXT_ASC,After School Club,True,,EXTENDED,DEFAULT,COSTCTR,,True
EXT_BC,Breakfast Club,True,,EXTENDED,DEFAULT,COSTCTR,,True
EXT_HC,Extended School Holiday Club,True,,EXTENDED,DEFAULT,COSTCTR,,True
GAG,General Annual Grant,True,,DEFAULT,DEFAULT,COSTCTR,,True
INC_ASC,Income - ASC,True,,DEFAULT,DEFAULT,COSTCTR,,True
INC_ATO,Income - ATP Other Users,True,,LETTINGS,DEFAULT,COSTCTR,,True
INC_ATP,Income - ATP Partners,True,,LETTINGS,DEFAULT,COSTCTR,,True
INC_BAN,Income - Bank Interest,False,MAT,DEFAULT,DEFAULT,COSTCTR,,True
INC_BAN,Income - Bank Interest,False,"LEA,MIL,ALE,APP,LOR,GRE,MAR,MID,EDU,GOO,OUR",SCHOOL,DEFAULT,COSTCTR,,True
INC_BFC,Income - Breakfast Club,True,,DEFAULT,DEFAULT,COSTCTR,,True
INC_BURS,Bursary Fund,True,,DEFAULT,DEFAULT,COSTCTR,,True
INC_CAR,Income - Cater taker's Occ Charge,True,,DEFAULT,DEFAULT,COSTCTR,,True
INC_CAT,Income - Catering,True,,CATERING,DEFAULT,COSTCTR,,True
INC_CHIL,Childrens Centre,True,,DEFAULT,DEFAULT,COSTCTR,,True
INC_COV,Covid Fund,True,,DEFAULT,DEFAULT,COSTCTR,,True
INC_DON,Income - Donations,True,,DEFAULT,DEFAULT,COSTCTR,,True
INC_GAG,Income - GAG,True,,DEFAULT,DEFAULT,COSTCTR,,True
INC_GRA,Income - Grants Other,True,,DEFAULT,DEFAULT,COSTCTR,,True
INC_LAC,Income - LAC OLA,True,,DEFAULT,DEFAULT,COSTCTR,,True
INC_LET,Income - Lettings General,True,,LETTINGS,DEFAULT,COSTCTR,,True
INC_MAT,Income - MAT,False,MAT,DEFAULT,DEFAULT,COSTCTR,,True
INC_NUR,Income - Nursery,True,,NURSERY,DEFAULT,COSTCTR,,True
INC_OTH,Income - Other,False,MAT,DEFAULT,DEFAULT,COSTCTR,,True
INC_OTH,Income - Other,False,"LEA,MIL,ALE,APP,LOR,GRE,MAR,MID,EDU,GOO,OUR",SCHOOL,DEFAULT,COSTCTR,,True
INC_PIN,Income - Other Ins Claims,False,MAT,DEFAULT,DEFAULT,COSTCTR,,True
INC_PIN,Income - Other Ins Claims,False,"LEA,MIL,ALE,APP,LOR,GRE,MAR,MID,EDU,GOO,OUR",SCHOOL,DEFAULT,COSTCTR,,True
INC_PPP,Income - Pupil Premium,True,,DEFAULT,DEFAULT,COSTCTR,,True
INC_PRI,Income - Primary School Income,True,,DEFAULT,DEFAULT,COSTCTR,,True
INC_PTA,Income - PTA,True,,DEFAULT,DEFAULT,COSTCTR,,True
INC_SCF,Income - General School Fund Inc,True,,DEFAULT,DEFAULT,COSTCTR,,True
INC_SCO,Income - School Council,True,,DEFAULT,DEFAULT,COSTCTR,,True
INC_SIN,Income - Staff Insurance,False,MAT,DEFAULT,DEFAULT,COSTCTR,,True
INC_SIN,Income - Staff Insurance,False,"LEA,MIL,ALE,APP,LOR,GRE,MAR,MID,EDU,GOO,OUR",SCHOOL,DEFAULT,COSTCTR,,True
INC_SLC,Income - SLCN Centre,True,,SENUNIT,DEFAULT,COSTCTR,,True
INC_SLP,Income - SALP Funding,True,,DEFAULT,DEFAULT,COSTCTR,,True
INC_SPL,Income - Swimming Pool,True,,LETTINGS,DEFAULT,COSTCTR,,True
INC_SPPR,Sports Premium,True,,DEFAULT,DEFAULT,COSTCTR,,True
INC_STT,Income - Student Teachers,True,,DEFAULT,DEFAULT,COSTCTR,,True
INC_SUN,Income - Sundry,True,,DEFAULT,DEFAULT,COSTCTR,,True
PREM_ATM,Premises - ATP Maintenance,True,,LETTINGS,DEFAULT,COSTCTR,,True
PREM_BLC,Premises - Building Contracts,False,MAT,DEFAULT,DEFAULT,COSTCTR,,True
PREM_BLC,Premises - Building Contracts,False,"LEA,MIL,ALE,APP,LOR,GRE,MAR,MID,EDU,GOO,OUR",SCHOOL,DEFAULT,COSTCTR,,True
PREM_CAT,Premises - Catering Supplies,True,,CATERING,DEFAULT,COSTCTR,,True
PREM_CCL,Premises - Contract Cleaning,True,,DEFAULT,DEFAULT,COSTCTR,,True
PREM_CLN,Premises - Cleaning Materials,True,,DEFAULT,DEFAULT,COSTCTR,,True
PREM_CRT,Premises - Caretakers Supplies,False,MAT,DEFAULT,DEFAULT,COSTCTR,,True
PREM_CRT,Premises - Caretakers' Supplies,False,"LEA,MIL,ALE,APP,LOR,GRE,MAR,MID,EDU,GOO,OUR",SCHOOL,DEFAULT,COSTCTR,,True
PREM_ENV,Premises - Environment,True,,DEFAULT,DEFAULT,COSTCTR,,True
PREM_GMA,Premises - Grounds Maintenance,False,MAT,DEFAULT,DEFAULT,COSTCTR,,True
PREM_GMR,Premises - General Maintenance,False,"LEA,MIL,ALE,APP,LOR,GRE,MAR,MID,EDU,GOO,OUR",SCHOOL,DEFAULT,COSTCTR,,True
PREM_HAS,Premises - Health & Safety,True,,DEFAULT,DEFAULT,COSTCTR,,True
PREM_MTO,Premises - Maintenance Other,True,,DEFAULT,DEFAULT,COSTCTR,,True
PREM_PAT,Premises - PAT Testing,True,,DEFAULT,DEFAULT,COSTCTR,,True
PREM_PRO,Premises - Other Premises,True,,DEFAULT,DEFAULT,COSTCTR,,True
PREM_RAT,Premises - Rates,True,,DEFAULT,DEFAULT,COSTCTR,,True
PREM_RFB,Premises - Refurbishment,False,MAT,DEFAULT,DEFAULT,COSTCTR,,True
PREM_RFB,Premises - Refurbishment,False,"LEA,MIL,ALE,APP,LOR,GRE,MAR,MID,EDU,GOO,OUR",SCHOOL,DEFAULT,COSTCTR,,True
PREM_SPC,Premises - Sports Centre,True,,LETTINGS,DEFAULT,COSTCTR,,True
PREM_SPL,Premises - Swimming Pool Maint,True,,LETTINGS,DEFAULT,COSTCTR,,True
PREM_UTL,Premises - Utilities,True,,DEFAULT,DEFAULT,COSTCTR,,True
PREM_WAT,Premises - Water,True,,DEFAULT,DEFAULT,COSTCTR,,True
SAL_ADM,Staff Costs - Finance and Admin,True,,SCHOOL,DEFAULT,SALARY,,True
SAL_CAT,Staff Costs - Catering Staff,True,,CATERING,DEFAULT,SALARY,,True
SAL_CLE,Staff Costs - Cleaning Staff,True,,SCHOOL,DEFAULT,SALARY,,True
SAL_COV,Staff Costs - Cover Supervisors,True,,SCHOOL,DEFAULT,SALARY,,True
SAL_EXT,Staff Costs - Extended Schools Staff,True,,EXTENDED,DEFAULT,SALARY,,True
SAL_FSW,Staff Costs - Family Support Workers,True,,SCHOOL,DEFAULT,SALARY,,True
SAL_INV,Staff Costs - Exam Invigilators,True,,SCHOOL,DEFAULT,SALARY,,True
SAL_LIB,Staff Costs - Librarians,True,,SCHOOL,DEFAULT,SALARY,,True
SAL_LSN,Staff Costs - Leadership Non-Teaching,True,,SCHOOL,DEFAULT,SALARY,,True
SAL_LST,Staff Costs - Leadership Teaching,True,,SCHOOL,DEFAULT,SALARY,,True
SAL_MDS,Staff Costs - Midday Supervisors,True,,SCHOOL,DEFAULT,SALARY,,True
SAL_NUR,Staff Costs - Nursery Staff,True,,NURSERY,DEFAULT,SALARY,,True
SAL_OTH,Staff Costs - Other Staff,True,,SCHOOL,DEFAULT,SALARY,,True
SAL_PRE,Staff Costs - Site Staff,True,,SCHOOL,DEFAULT,SALARY,,True
SAL_SUPP,Supply Costs,True,,SCHOOL,DEFAULT,SALARY,,True
SAL_TA,Staff Costs - Teaching Assistants,True,,SCHOOL,DEFAULT,SALARY,,True
SAL_TEA,Staff Costs - Teachers,True,,SCHOOL,DEFAULT,SALARY,,True
SAL_TEC,Staff Costs - Technicians,True,,SCHOOL,DEFAULT,SALARY,,True
SSCO,School Council,True,,EXTENDED,DEFAULT,COSTCTR,,True
STF_ATP,Staff - ATP Staff,True,,DEFAULT,DEFAULT,COSTCTR,,True
STF_BUP,Staff - Bupa,True,,DEFAULT,DEFAULT,COSTCTR,,True
STF_DEV,Staff Development,False,MAT,DEFAULT,DEFAULT,COSTCTR,,True
STF_DEV,Staff Development,False,"LEA,MIL,ALE,APP,LOR,GRE,MAR,MID,EDU,GOO,OUR",SCHOOL,DEFAULT,COSTCTR,,True
STF_FLA,Staff- FLA,True,,DEFAULT,DEFAULT,COSTCTR,,True
STF_HSL,Staff - HSLW,True,,DEFAULT,DEFAULT,COSTCTR,,True
STF_INS,Staff - Cover Insurance,True,,DEFAULT,DEFAULT,COSTCTR,,True
STF_OTH,Staff - Other Costs,False,MAT,DEFAULT,DEFAULT,COSTCTR,,True
STF_OTH,Staff - Other Costs,False,"LEA,MIL,ALE,APP,LOR,GRE,MAR,MID,EDU,GOO,OUR",SCHOOL,DEFAULT,COSTCTR,,True
STF_REC,Staff - Recruitment,False,MAT,DEFAULT,DEFAULT,COSTCTR,,True
STF_REC,Staff - Recruitment,False,"LEA,MIL,ALE,APP,LOR,GRE,MAR,MID,EDU,GOO,OUR",SCHOOL,DEFAULT,COSTCTR,,True
STF_SUP,Staff - Supply,True,,DEFAULT,DEFAULT,COSTCTR,,True
TRIP_13BALL,Year 13 Ball,False,MAR,SCHOOL,DEFAULT,TRIPS,,True
TRIP_ART,Art Club Year 7,False,MIL,SCHOOL,DEFAULT,TRIPS,,True
TRIP_BAS,Basketball,False,"ALE,APP,LOR",DEFAULT,DEFAULT,TRIPS,,True
TRIP_BSL,British Sign Language Course,False,MIL,SCHOOL,DEFAULT,TRIPS,,True
TRIP_CLSA,A Level CSLA Course 2021/22,False,MAR,SCHOOL,DEFAULT,TRIPS,,True
TRIP_DOFE,Duke of Edinburgh Bronze 2022,False,MIL,SCHOOL,DEFAULT,TRIPS,,True
TRIP_EXTHC,Extended School Holiday Club Trips,True,,EXTENDED,REST,TRIPS,,True
TRIP_GEN,General Trips,True,,DEFAULT,DEFAULT,TRIPS,,True
TRIP_GEO,A level Geography & Physics Iceland,False,MAR,SCHOOL,DEFAULT,TRIPS,,True
TRIP_GFA,Greenway Football Academy Training,False,"ALE,APP,LOR",DEFAULT,DEFAULT,TRIPS,,True
TRIP_HE,Higher Education & Apprenticeship Event,False,"GRE,GOO,OUR",SCHOOL,DEFAULT,TRIPS,,True
TRIP_LB,Leavers Ball,False,"GRE,GOO,OUR",SCHOOL,DEFAULT,TRIPS,,True
TRIP_MFL,MFL French Exchange,False,"GRE,GOO,OUR",SCHOOL,DEFAULT,TRIPS,,True
TRIP_NET,Netball,False,"ALE,APP,LOR",DEFAULT,DEFAULT,TRIPS,,True
TRIP_SHE22,Sheffield Trip 2022,False,APP,DEFAULT,DEFAULT,TRIPS,,True
TRIP_YR10ENG,English Year 10 Poetry Live,False,"GRE,GOO,OUR",SCHOOL,DEFAULT,TRIPS,,True
TRIP_YR10GEO,Year 10 Geography Norfolk March 22,False,"GRE,GOO,OUR",SCHOOL,DEFAULT,TRIPS,,True
TRIP_YR10HS,Year 10 HSC First Aid Course,False,"GRE,GOO,OUR",SCHOOL,DEFAULT,TRIPS,,True
TRIP_YR11HSC,Year 11 HSC First Aid Course,False,MID,SCHOOL,DEFAULT,TRIPS,,True
TRIP_YR11PROM,Year 11 Prom,False,MID,SCHOOL,DEFAULT,TRIPS,,True
TRIP_YR12SEA,Year 12 Seaford/Newhaven and Stratford,False,MAR,SCHOOL,DEFAULT,TRIPS,,True
TRIP_YR7AW,Year 7 Activities Week,False,MID,SCHOOL,DEFAULT,TRIPS,,True
TRIP_YR7PP,English Yr 7 Private Peaceful,False,MIL,SCHOOL,DEFAULT,TRIPS,,True
TRIP_YR8AW,Year 8 Activities Week,False,MID,SCHOOL,DEFAULT,TRIPS,,True
TRIP_YR8CIT,Yr 8 Curiouc Incident Theatre Trip,False,MIL,SCHOOL,DEFAULT,TRIPS,,True
TRIP_YR8PAR,Activity Week Year 8 Paris 2022,False,MIL,SCHOOL,DEFAULT,TRIPS,,True
TRIP_YR9AW,Year 9 Activities Week,False,MID,SCHOOL,DEFAULT,TRIPS,,True
TRIP_YR9PGL,Activity Week Year 9 PGL 2022,False,MIL,SCHOOL,DEFAULT,TRIPS,,True
TRIP_YR9WIB,English Yr 9 The Woman in Black - Apr 22,False,"GRE,GOO,OUR",SCHOOL,DEFAULT,TRIPS,,True
UIFSM,Universal Free School Meals,False,"ALE,APP",DEFAULT,DEFAULT,COSTCTR,,True
