FinanceCode,Title,GroupingCode,CustomGrouping,AvailableToAllSchools,SchoolCodes,FinanceCodeTypeCode,LedgerCode,FinanceCodeEnabled
630100,SF: Cleaning Staff: Wages and salaries,630100,B2,True,,BUDGET,SALARY,True
630150,SF: Cleaning Staff: Overtime,630150,B2,True,,BUDGET,SALARY,True
630200,SF: Cleaning Staff: Employers national insurance,630200,B2,True,,BUDGET,SALARY,True
630300,SF: Cleaning Staff: Employers pension contribution,630300,B2,True,,BUDGET,SALARY,True
632100,SF: Catering Staff: Wages and salaries,632100,B4,True,,BUDGET,SALARY,True
632150,SF: Catering Staff: Overtime,632150,B4,True,,BUDGET,SALARY,True
632200,SF: Catering Staff: Employers national insurance,632200,B4,True,,BUDGET,SALARY,True
632300,SF: Catering Staff: Employers pension contribution,632300,B4,True,,BUDGET,SALARY,True
635100,SF: Midday Supervisors: Wages and salaries,635100,B4,True,,BUDGET,SALARY,True
635150,SF: Midday Supervisors: Overtime,635150,B4,True,,BUDGET,SALARY,True
635200,SF: Midday Supervisors: Employers national insurance,635200,B4,True,,BUDGET,SALARY,True
635300,SF: Midday Supervisors: Employers pension contribution,635300,B4,True,,BUDGET,SALARY,True
637100,SF: Nursery Staff: Wages and salaries,637100,B1,True,,BUDGET,SALARY,True
637150,SF: Nursery Staff: Overtime,637150,B1,True,,BUDGET,SALARY,True
637200,SF: Nursery Staff: Employers national insurance,637200,B1,True,,BUDGET,SALARY,True
637300,SF: Nursery Staff: Employers pension contribution,637300,B1,True,,BUDGET,SALARY,True
640100,SF: Family Support Workers: Wages and salaries,640100,B4,True,,BUDGET,SALARY,True
640150,SF: Family Support Workers: Overtime,640150,B4,True,,BUDGET,SALARY,True
640200,SF: Family Support Workers: Employers national insurance,640200,B4,True,,BUDGET,SALARY,True
640300,SF: Family Support Workers: Employers pension contribution,640300,B4,True,,BUDGET,SALARY,True
642100,SF: Exam Invigilators: Wages and salaries,642100,B4,True,,BUDGET,SALARY,True
642150,SF: Exam Invigilators: Overtime,642150,B4,True,,BUDGET,SALARY,True
642200,SF: Exam Invigilators: Employers national insurance,642200,B4,True,,BUDGET,SALARY,True
642300,SF: Exam Invigilators: Employers pension contribution,642300,B4,True,,BUDGET,SALARY,True
645100,SF: Community Facilities Staff: Wages and salaries,645100,B4,True,,BUDGET,SALARY,True
645150,SF: Community Facilities Staff: Overtime,645150,B4,True,,BUDGET,SALARY,True
645200,SF: Community Facilities Staff: Employers national insurance,645200,B4,True,,BUDGET,SALARY,True
645300,SF: Community Facilities Staff: Employers pension contribution,645300,B4,True,,BUDGET,SALARY,True
647100,SF: Other Staff: Wages and salaries,647100,B4,True,,BUDGET,SALARY,True
647150,SF: Other Staff: Overtime,647150,B4,True,,BUDGET,SALARY,True
647200,SF: Other Staff: Employers national insurance,647200,B4,True,,BUDGET,SALARY,True
647300,SF: Other Staff: Employers pension contribution,647300,B4,True,,BUDGET,SALARY,True
650400,SF: Supply Staff: Teachers - long term cover:Wages and salaries,650400,B5,True,,BUDGET,SALARY,True
650410,SF: Supply Staff: Teachers - long term cover:Employers national insurance,650410,B5,True,,BUDGET,SALARY,True
650420,SF: Supply Staff: Teachers - long term cover:Employers pension,650420,B5,True,,BUDGET,SALARY,True
650450,SF: Supply Staff: Teachers - short term cover:Wages and salaries,650450,B5,True,,BUDGET,SALARY,True
650460,SF: Supply Staff: Teachers - short term cover:Employers national insurance,650460,B5,True,,BUDGET,SALARY,True
650470,SF: Supply Staff: Teachers - short term cover:Employers pension,650470,B5,True,,BUDGET,SALARY,True
650500,SF: Supply Staff: Teaching assistants:Wages and salaries,650500,B5,True,,BUDGET,SALARY,True
650510,SF: Supply Staff: Teaching assistants:Employers national insurance,650510,B5,True,,BUDGET,SALARY,True
650520,SF: Supply Staff: Teaching assistants:Employers pension,650520,B5,True,,BUDGET,SALARY,True
650550,SF: Supply Staff: Support staff:Wages and salaries,650550,B5,True,,BUDGET,SALARY,True
650560,SF: Supply Staff: Support staff:Employers national insurance,650560,B5,True,,BUDGET,SALARY,True
650570,SF: Supply Staff: Support staff:Employers pension,650570,B5,True,,BUDGET,SALARY,True
655100,SF: Boarding Staff - direct: Wages and salaries,655100,B4,True,,BUDGET,SALARY,True
