IsBalanceSheet,GroupingCode,CustomGrouping,FinanceCode,Title,AvailableToAllSchools,SchoolCodes,FinanceCodeTypeCode,LedgerCode,FinanceCodeEnabled,BalanceToScenario
False,ZZZ,ZZZ,FSM6_SEC_RATE,FSM6 Secondary Rate,True,,STATISTICS,DEFAULT,True,False
False,ZZZ,ZZZ,FTE_KS5,FTE for Post 16 Pupils,True,,PUPILNUMBERS,DEFAULT,True,False
False,ZZZ,ZZZ,FUNDALLO,Funding Allocation,True,,FUNDING,DEFAULT,True,False
False,ZZZ,ZZZ,FUNDING_SPE_BANDS,Funding_spe_bands,True,,FUNDING,DEFAULT,True,False
False,ZZZ,ZZZ,FUNDING_SUPP_GRANT,Funding Support Grant,True,,FUNDING,DEFAULT,True,False
False,ZZZ,ZZZ,LEVY,Apprentice Levy,True,,STATISTICS,DEFAULT,True,False
False,ZZZ,ZZZ,LIVWAGE,Living Wage Topup,True,,STATISTICS,COSTCTR,True,False
False,ZZZ,ZZZ,LUMP_PRI_IMP,Lump Sum Primary imp,True,,STATISTICS,DEFAULT,True,False
False,ZZZ,ZZZ,MATPAYGRANT_PRI,MAT Pay Grant Primary,True,,STATISTICS,DEFAULT,True,False
False,ZZZ,ZZZ,MATPENSGRANT_PRI,MAT Pensions Grant Primary,True,,STATISTICS,DEFAULT,True,False
False,ZZZ,ZZZ,MEALCOST_RATE,School Meal Per Pupil Per Annum,True,,STATISTICS,DEFAULT,True,False
False,ZZZ,ZZZ,MEALUPTAKE%,School Meal % Uptake,True,,STATISTICS,DEFAULT,True,False
False,ZZZ,ZZZ,MINWAGE,Minimum Wage Top Up,True,,STATISTICS,COSTCTR,True,False
False,ZZZ,ZZZ,MINWAGE2,minwage,True,,STATISTICS,CAPITAL,True,False
False,ZZZ,ZZZ,PE_GRANT,"PE Grant ",True,,FUNDING,DEFAULT,True,False
False,ZZZ,ZZZ,PEG_CORE,PE Grant Core Amount,True,,STATISTICS,DEFAULT,True,False
False,ZZZ,ZZZ,PEG_PUPIL,"PE Grant Per Pupil ",True,,STATISTICS,DEFAULT,True,False
False,ZZZ,ZZZ,PENS,Opted Out Pension Costs,True,,STATISTICS,COSTCTR,True,False
False,ZZZ,ZZZ,PENS_KS5_APR,Teachers Pensions Grant Post 16 Rate April - August (EW),True,,STATISTICS,DEFAULT,True,False
False,ZZZ,ZZZ,PENS_KS5_APR_FRI,Teachers Pensions Grant Post 16 Rate April - August (Fringe),True,,STATISTICS,DEFAULT,True,False
False,ZZZ,ZZZ,PENS_KS5_APR_INN,Teachers Pensions Grant Post 16 Rate April - August (Inner),True,,STATISTICS,DEFAULT,True,False
False,ZZZ,ZZZ,PENS_KS5_APR_OUT,Teachers Pensions Grant Post 16 Rate April - August (Outer),True,,STATISTICS,DEFAULT,True,False
